City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,toliara,-23.35,43.6667,22.22,77,47,6.54,MG,1682445822
158,kourou,5.1552,-52.6478,28.03,75,76,4.3,GF,1682445822
159,shiguai,40.7058,110.2856,5.43,28,1,2.6,CN,1682445822
160,dunedin,-45.8742,170.5036,8.22,71,60,5.36,NZ,1682445680
161,hithadhoo,-0.6,73.0833,28.96,75,100,5.42,MV,1682445822
162,kachkanar,58.7,59.4948,10.68,59,44,1.85,RU,1682445823
163,camden,39.7835,-74.9663,15.88,42,45,2.24,US,1682445734
164,kenora,49.8167,-94.4337,5.54,42,75,2.57,CA,1682445823
165,pisco,-13.7,-76.2167,23.9,78,0,4.12,PE,1682445823
166,zyryanskoye,56.8306,86.6258,-0.15,89,100,4.01,RU,1682445824
167,remire-montjoly,4.9167,-52.2667,28.02,83,100,5.66,GF,1682445824
168,molde,62.7375,7.1591,3.73,81,75,2.57,NO,1682445824
169,chu,43.5983,73.7614,14.2,39,1,8.04,KZ,1682445824
170,jayapura,-2.5333,140.7,24.66,93,93,2.24,ID,1682445824
171,nishinoomote,30.7333,131.0,19.22,91,99,14.45,JP,1682445825
172,nabire,-3.3667,135.4833,24.39,93,90,1.37,ID,1682445825
173,fale old settlement,-9.3852,-171.2468,28.71,74,98,4.53,TK,1682445825
174,wangkui,46.8333,126.5,0.87,30,16,2.45,CN,1682445825
175,rio grande,-32.035,-52.0986,27.06,71,100,4.78,BR,1682445826
176,fortuna foothills,32.6578,-114.4119,29.19,30,0,6.69,US,1682445826
177,mariehamn,60.0973,19.9348,5.92,93,100,2.06,AX,1682445826
178,tuy hoa,13.0833,109.3,25.07,86,93,1.67,VN,1682445826
179,kuhmo,64.1333,29.5167,0.98,100,100,3.75,FI,1682445827
180,east london,-33.0153,27.9116,21.52,88,75,3.6,ZA,1682445827
181,bubaque,11.2833,-15.8333,25.96,72,2,8.75,GW,1682445827
182,adam,22.3756,57.5233,26.24,47,39,7.55,OM,1682445827
183,urangan,-25.3,152.9,22.63,61,77,8.16,AU,1682445828
184,igarka,67.4667,86.5833,-2.02,97,100,5.01,RU,1682445828
185,manavalakurichi,8.1333,77.3,27.24,82,100,1.29,IN,1682445828
186,thompson,55.7435,-97.8558,6.09,36,20,2.06,CA,1682445656
187,san antonio de pale,-1.4014,5.6325,28.46,73,100,4.85,GQ,1682445808
188,qaqortoq,60.7167,-46.0333,2.0,90,95,2.5,GL,1682445829
189,nova sintra,14.8667,-24.7167,20.43,73,0,8.81,CV,1682445829
190,empalme,27.9667,-110.8167,29.4,50,0,2.06,MX,1682445829
191,kismayo,-0.3582,42.5454,28.21,75,100,4.43,SO,1682445829
192,meulaboh,4.1363,96.1285,25.6,88,80,1.67,ID,1682445829
193,bardai,11.65,7.2333,34.31,17,95,2.46,NG,1682445830
194,alta,69.9689,23.2717,0.59,60,17,3.09,NO,1682445830
195,zhengjiatun,43.5064,123.5064,1.75,63,90,5.14,CN,1682445831
196,labrador city,52.9463,-66.9114,9.95,43,75,3.6,CA,1682445831
197,tozkhurmato,34.8905,44.6299,21.77,35,0,3.2,IQ,1682445831
198,port saint john's,-31.6229,29.5448,22.02,90,94,2.96,ZA,1682445831
199,arivonimamo,-19.0167,47.1833,17.03,83,0,2.34,MG,1682445832
200,constantia,44.1833,28.65,12.61,90,100,4.16,RO,1682445604
201,dudinka,69.4058,86.1778,1.46,99,100,3.89,RU,1682445832
202,boromo,11.75,-2.9333,37.82,21,64,3.32,BF,1682445832
203,covington,39.0837,-84.5086,15.4,39,86,2.82,US,1682445672
204,purna,19.1833,77.05,26.72,60,31,6.12,IN,1682445833
205,muli,2.9167,73.5667,29.11,73,98,3.29,MV,1682445834
206,urumqi,43.801,87.6005,11.53,62,0,3.0,CN,1682445834
207,tura,25.5198,90.2201,23.34,46,18,1.31,IN,1682445834
208,salalah,17.0151,54.0924,29.05,74,40,4.12,OM,1682445834
209,gadzhiyevo,69.2551,33.3362,-3.9,83,19,5.37,RU,1682445835
210,tres de maio,-27.7733,-54.24,21.53,80,60,4.4,BR,1682445835
211,aksaray,38.3726,34.0254,12.36,62,66,4.54,TR,1682445836
212,saudarkrokur,65.7461,-19.6394,1.08,52,18,3.18,IS,1682445836
213,shenjiamen,29.9576,122.298,13.54,79,94,5.61,CN,1682445836
214,boguchany,58.3814,97.4531,-1.88,88,100,4.63,RU,1682445836
215,hawaiian paradise park,19.5933,-154.9731,24.94,96,79,1.48,US,1682445836
216,saint-pierre,-21.3393,55.4781,24.82,88,0,1.03,RE,1682445837
217,yuzhno-kurilsk,44.0306,145.8556,3.5,88,100,5.17,RU,1682445837
218,anadyr,64.75,177.4833,-10.72,62,0,7.0,RU,1682445691
219,alice springs,-23.7,133.8833,12.75,82,10,2.87,AU,1682445830
220,portage la prairie,49.9728,-98.2926,8.39,52,75,3.13,CA,1682445681
221,mao,39.8885,4.2658,18.31,82,20,1.54,ES,1682445837
222,sambava,-14.2667,50.1667,26.03,87,66,0.42,MG,1682445838
223,takanabe,32.1333,131.5,17.94,95,100,3.11,JP,1682445838
224,ancud,-41.8697,-73.8203,11.33,98,100,2.84,CL,1682445657
225,saint-louis du nord,19.9333,-72.7167,26.99,68,46,3.12,HT,1682445838
226,karratha,-20.7377,116.8463,25.64,42,100,3.92,AU,1682445839
227,porto empedocle,37.2934,13.5264,18.51,79,85,4.72,IT,1682445839
228,jackson,42.4165,-122.8345,15.58,58,0,1.34,US,1682445840
229,sur,22.5667,59.5289,25.91,66,60,4.39,OM,1682445840
230,badger,64.8,-147.5333,-4.07,46,40,4.12,US,1682445840
231,ninotsminda,41.2646,43.5916,4.1,85,48,0.98,GE,1682445841
232,sinop,41.7711,34.8709,11.44,75,100,1.81,TR,1682445728
233,enoch,37.7733,-113.0244,10.26,40,0,7.2,US,1682445842
234,conceicao do mato dentro,-19.0372,-43.425,26.44,52,43,2.69,BR,1682445843
235,keflavik,64.0049,-22.5624,6.95,45,20,4.63,IS,1682445843
236,al kharj,24.155,47.3346,31.32,34,43,10.18,SA,1682445843
237,revda,56.801,59.9303,10.8,65,58,1.68,RU,1682445844
238,necochea,-38.5473,-58.7368,22.83,48,25,1.51,AR,1682445845
239,colonia,50.9333,6.95,10.54,50,40,4.63,DE,1682445614
240,kabala,9.5833,-11.55,34.4,34,51,3.35,SL,1682445845
241,arsen'yev,44.1631,133.2733,2.67,94,100,1.58,RU,1682445845
242,sarina,-21.4333,149.2167,21.82,79,73,6.32,AU,1682445846
243,cheremkhovo,53.1561,103.0675,-0.28,84,100,9.85,RU,1682445846
244,sao paulo de olivenca,-3.3783,-68.8725,28.63,70,88,1.03,BR,1682445846
245,flin flon,54.7682,-101.865,4.91,48,100,3.6,CA,1682445729
246,grossenluder,50.5925,9.5423,8.97,52,98,2.74,DE,1682445847
247,yarovoye,52.9273,78.58,8.46,55,39,6.08,RU,1682445847
248,paramonga,-10.6667,-77.8333,26.08,70,77,4.48,PE,1682445847
249,hermanus,-34.4187,19.2345,14.89,77,16,1.46,ZA,1682445848
250,kingston,17.997,-76.7936,30.13,64,20,4.63,JM,1682445624
251,tukrah,32.5341,20.5791,17.64,63,4,0.63,LY,1682445848
252,burang,30.25,81.1667,-4.42,90,70,0.85,CN,1682445848
253,bangassou,4.7413,22.8184,21.82,96,92,1.45,CF,1682445849
254,kachug,53.9606,105.8817,2.03,78,100,1.81,RU,1682445849
255,kolonia,50.9333,6.95,10.54,50,40,4.63,DE,1682445623
256,fortuna,40.5982,-124.1573,15.52,75,86,0.89,US,1682445849
257,spisska nova ves,48.9446,20.5615,7.17,93,100,0.88,SK,1682445850
258,vahdat,38.5563,69.0135,18.41,52,100,1.0,TJ,1682445850
259,robore,-18.3333,-59.75,24.05,94,75,0.0,BO,1682445850
260,anapa,44.8908,37.3239,9.19,87,20,4.0,RU,1682445636
261,mar del plata,-38.0023,-57.5575,20.53,82,75,2.06,AR,1682445631
262,ain sefra,32.75,-0.5833,26.24,16,1,3.92,DZ,1682445851
263,fortaleza,-3.7227,-38.5247,31.07,62,0,6.17,BR,1682445851
264,machico,32.7,-16.7667,22.85,77,20,5.66,PT,1682445852
265,acarau,-2.8856,-40.12,28.67,73,70,4.98,BR,1682445852
266,eyl,7.9803,49.8164,28.42,76,39,5.42,SO,1682445852
267,belaya kholunitsa,58.84,50.8528,13.65,56,100,1.91,RU,1682445853
268,puerto baquerizo moreno,-0.9,-89.6,28.55,74,20,3.09,EC,1682445853
269,susuman,62.7833,148.1667,-12.8,99,94,1.43,RU,1682445853
270,coron,11.9986,120.2043,25.63,84,18,1.48,PH,1682445853
271,praia da vitoria,38.7333,-27.0667,21.14,73,40,6.74,PT,1682445854
272,lisakovsk,52.5369,62.4936,15.77,40,36,3.41,KZ,1682445854
273,taroa,8.7058,171.2275,27.25,81,100,8.38,MH,1682445854
274,rangapara,26.8167,92.65,23.32,59,41,2.14,IN,1682445854
275,plettenberg bay,-34.0527,23.3716,16.21,87,37,1.47,ZA,1682445855
276,kapustin yar,48.5831,45.7372,12.81,74,82,4.88,RU,1682445855
277,hilo,19.7297,-155.09,29.04,72,0,2.06,US,1682445855
278,dampit,-8.2116,112.7493,22.03,97,84,0.81,ID,1682445856
279,ocean shores,46.9737,-124.1563,12.99,72,0,4.63,US,1682445733
280,mala,-12.6581,-76.6308,24.42,76,70,4.02,PE,1682445856
281,aqsay,51.1678,52.995,16.58,45,100,4.53,KZ,1682445856
282,hrajel,34.0148,35.7946,10.64,83,5,0.74,LB,1682445857
283,mogadishu,2.0371,45.3438,28.78,68,100,4.71,SO,1682445857
284,woodward,36.4337,-99.3904,10.57,100,100,6.69,US,1682445858
285,chonchi,-42.6128,-73.8092,11.73,99,100,0.58,CL,1682445858
286,preobrazheniye,42.9019,133.9064,3.54,93,100,1.29,RU,1682445858
287,arys,42.4252,68.795,17.44,34,0,8.36,KZ,1682445858
288,kolwezi,-10.7148,25.4667,18.0,85,72,1.91,CD,1682445631
289,barcelos,41.5388,-8.6151,21.62,74,65,2.38,PT,1682445725
290,el calafate,-50.3408,-72.2768,7.72,63,4,2.25,AR,1682445859
291,finley,46.154,-119.0339,17.2,48,0,4.02,US,1682445859
292,santiago de cao,-7.9589,-79.2392,26.07,73,94,6.17,PE,1682445687
293,roma,43.2128,-75.4557,9.73,65,100,5.14,US,1682445677
294,wapato,46.4476,-120.4203,14.93,48,0,0.0,US,1682445860
295,sirte,31.2089,16.5887,20.35,49,2,4.64,LY,1682445861
296,oltinko'l,40.8011,72.1634,21.78,30,0,1.11,UZ,1682445861
297,hadibu,12.65,54.0333,28.21,70,65,1.35,YE,1682445861
298,cidreira,-30.1811,-50.2056,23.3,68,81,5.15,BR,1682445808
299,peniscola,40.3359,0.3613,24.82,63,86,1.48,ES,1682445861
300,camacupa,-12.0167,17.4833,19.1,80,100,1.15,AO,1682445862
301,ixtapa,20.7,-105.2,26.57,54,40,4.63,MX,1682445862
302,qa'en,33.7265,59.1844,21.38,25,80,2.38,IR,1682445862
303,kruisfontein,-34.0033,24.7314,18.82,92,72,0.07,ZA,1682445863
304,gereshk,31.8209,64.5701,26.44,14,97,3.5,AF,1682445863
305,chifeng,42.2683,118.9636,2.92,18,0,2.78,CN,1682445863
306,ola,59.5833,151.2833,0.08,82,100,3.87,RU,1682445864
307,zara,44.1197,15.2422,12.34,94,75,1.03,HR,1682445864
308,lianzhou,24.7811,112.3825,10.22,96,1,1.6,CN,1682445864
309,san andres,12.5847,-81.7006,31.01,58,20,3.09,CO,1682445864
310,khoyniki,51.8911,29.9552,12.71,61,65,2.79,BY,1682445865
311,manacapuru,-3.2997,-60.6206,27.75,78,68,0.32,BR,1682445865
312,oromocto,45.8351,-66.4792,9.28,76,100,3.58,CA,1682445866
313,okha,53.5739,142.9478,-0.75,79,86,4.27,RU,1682445866
